Ward Code,Borough,Ward,b_w,All people,White,Mixed,Asian,Black,Chinese/Other,White British,White Irish,White Other White,Mixed White and Black Caribbean,Mixed White and Black African,Mixed White and Asian,Mixed Other Mixed,Asian or Asian British Indian,Asian or Asian British Pakistani,Asian or Asian British Bangladeshi,Asian or Asian British Other Asian,Black or Black British Black Caribbean,Black or Black British Black African,Black or Black British Other Black,Chinese or other ethnic group Chinese,Chinese or other ethnic group Other Ethnic Group,% White,% Mixed,% Asian,% Black,% Chinese/Other,% White British,% White Irish,% White Other White,% Mixed White and Black Caribbean,% Mixed White and Black African,% Mixed White and Asian,% Mixed Other Mixed,% Asian or Asian British Indian,% Asian or Asian British Pakistani,% Asian or Asian British Bangladeshi,% Asian or Asian British Other Asian,% Black or Black British Black Caribbean,% Black or Black British Black African,% Black or Black British Other Black,% Chinese or other ethnic group Chinese,% Chinese or other ethnic group Other Ethnic Group
00AKGP,Enfield,Cockfosters,EnfieldCockfosters,12536,10413,246,1172,395,310,8441,261,1711,41,32,95,78,668,125,130,249,124,237,34,210,100,83.1,2,9.3,3.2,2.5,67.3,2.1,13.6,0.3,0.3,0.8,0.6,5.3,1,1,2,1,1.9,0.3,1.7,0.8
00AKGQ,Enfield,Edmonton Green,EnfieldEdmonton Green,15103,8805,622,1580,3755,341,6405,303,2097,221,108,153,140,564,109,446,461,1687,1803,265,95,246,58.3,4.1,10.5,24.9,2.3,42.4,2,13.9,1.5,0.7,1,0.9,3.7,0.7,3,3.1,11.2,11.9,1.8,0.6,1.6
00AKGR,Enfield,Enfield Highway,EnfieldEnfield Highway,14137,11412,374,702,1503,146,9328,337,1747,155,39,92,88,273,44,167,218,751,607,145,58,88,80.7,2.6,5,10.6,1,66,2.4,12.4,1.1,0.3,0.7,0.6,1.9,0.3,1.2,1.5,5.3,4.3,1,0.4,0.6
00AKGS,Enfield,Enfield Lock,EnfieldEnfield Lock,12714,10407,391,458,1304,154,8827,309,1271,159,68,68,96,188,54,107,109,634,571,99,58,96,81.9,3.1,3.6,10.3,1.2,69.4,2.4,10,1.3,0.5,0.5,0.8,1.5,0.4,0.8,0.9,5,4.5,0.8,0.5,0.8
00AKGU,Enfield,Haselbury,EnfieldHaselbury,14485,9053,639,1561,2913,319,6523,345,2185,237,74,142,186,724,121,269,447,1634,1056,223,78,241,62.5,4.4,10.8,20.1,2.2,45,2.4,15.1,1.6,0.5,1,1.3,5,0.8,1.9,3.1,11.3,7.3,1.5,0.5,1.7
00AKGW,Enfield,Highlands,EnfieldHighlands,12305,10818,277,684,346,180,9431,376,1011,49,23,116,89,373,72,65,174,151,169,26,62,118,87.9,2.3,5.6,2.8,1.5,76.6,3.1,8.2,0.4,0.2,0.9,0.7,3,0.6,0.5,1.4,1.2,1.4,0.2,0.5,1
00AKGX,Enfield,Jubilee,EnfieldJubilee,13052,9197,416,1035,2178,226,6922,380,1895,121,54,107,134,545,58,113,319,1263,750,165,67,159,70.5,3.2,7.9,16.7,1.7,53,2.9,14.5,0.9,0.4,0.8,1,4.2,0.4,0.9,2.4,9.7,5.7,1.3,0.5,1.2
00AKGY,Enfield,Lower Edmonton,EnfieldLower Edmonton,12686,7771,557,1241,2901,216,5526,504,1741,210,59,129,159,538,70,160,473,1622,1062,217,56,160,61.3,4.4,9.8,22.9,1.7,43.6,4,13.7,1.7,0.5,1,1.3,4.2,0.6,1.3,3.7,12.8,8.4,1.7,0.4,1.3
00AKGZ,Enfield,Palmers Green,EnfieldPalmers Green,13197,10211,422,1366,1020,178,6779,538,2894,118,59,140,105,853,138,112,263,585,354,81,59,119,77.4,3.2,10.4,7.7,1.3,51.4,4.1,21.9,0.9,0.4,1.1,0.8,6.5,1,0.8,2,4.4,2.7,0.6,0.4,0.9
00AKHA,Enfield,Ponders End,EnfieldPonders End,12978,8812,420,1552,1935,259,6628,415,1769,131,76,119,94,416,129,791,216,1006,779,150,78,181,67.9,3.2,12,14.9,2,51.1,3.2,13.6,1,0.6,0.9,0.7,3.2,1,6.1,1.7,7.8,6,1.2,0.6,1.4
00AKHB,Enfield,Southbury,EnfieldSouthbury,12466,10352,419,610,890,195,8767,360,1225,123,39,151,106,296,53,112,149,381,443,66,98,97,83,3.4,4.9,7.1,1.6,70.3,2.9,9.8,1,0.3,1.2,0.9,2.4,0.4,0.9,1.2,3.1,3.6,0.5,0.8,0.8
00AKHC,Enfield,Southgate,EnfieldSouthgate,12103,9769,332,1071,503,428,7658,404,1707,83,40,121,88,612,85,99,275,211,262,30,310,118,80.7,2.7,8.8,4.2,3.5,63.3,3.3,14.1,0.7,0.3,1,0.7,5.1,0.7,0.8,2.3,1.7,2.2,0.2,2.6,1
00AKHD,Enfield,Southgate Green,EnfieldSouthgate Green,12897,9904,334,1589,730,340,7293,535,2076,73,58,121,82,1037,118,194,240,310,369,51,184,156,76.8,2.6,12.3,5.7,2.6,56.5,4.1,16.1,0.6,0.4,0.9,0.6,8,0.9,1.5,1.9,2.4,2.9,0.4,1.4,1.2
00AKHF,Enfield,Turkey Street,EnfieldTurkey Street,12744,10899,344,420,970,111,9341,304,1254,137,38,76,93,168,58,90,104,411,498,61,55,56,85.5,2.7,3.3,7.6,0.9,73.3,2.4,9.8,1.1,0.3,0.6,0.7,1.3,0.5,0.7,0.8,3.2,3.9,0.5,0.4,0.4
00AKHG,Enfield,Upper Edmonton,EnfieldUpper Edmonton,14843,8771,579,1575,3584,334,6039,379,2353,217,85,119,158,772,114,224,465,1839,1479,266,79,255,59.1,3.9,10.6,24.1,2.3,40.7,2.6,15.9,1.5,0.6,0.8,1.1,5.2,0.8,1.5,3.1,12.4,10,1.8,0.5,1.7
00AKHH,Enfield,Winchmore Hill,EnfieldWinchmore Hill,12225,10459,328,754,550,134,8158,507,1794,72,61,118,77,465,86,52,151,300,227,23,78,56,85.6,2.7,6.2,4.5,1.1,66.7,4.1,14.7,0.6,0.5,1,0.6,3.8,0.7,0.4,1.2,2.5,1.9,0.2,0.6,0.5
00ALGP,Greenwich,Abbey Wood,GreenwichAbbey Wood,13372,10606,303,763,1558,142,9971,221,414,110,59,66,68,511,54,47,151,426,1035,97,65,77,79.3,2.3,5.7,11.7,1.1,74.6,1.7,3.1,0.8,0.4,0.5,0.5,3.8,0.4,0.4,1.1,3.2,7.7,0.7,0.5,0.6
00ALGQ,Greenwich,Blackheath Westcombe,GreenwichBlackheath Westcombe,11981,10337,307,477,649,211,9109,321,907,93,26,104,84,295,84,35,63,227,378,44,104,107,86.3,2.6,4,5.4,1.8,76,2.7,7.6,0.8,0.2,0.9,0.7,2.5,0.7,0.3,0.5,1.9,3.2,0.4,0.9,0.9
00ALGR,Greenwich,Charlton,GreenwichCharlton,12608,9482,457,797,1555,317,8441,393,648,176,67,110,104,491,124,78,104,399,1032,124,114,203,75.2,3.6,6.3,12.3,2.5,66.9,3.1,5.1,1.4,0.5,0.9,0.8,3.9,1,0.6,0.8,3.2,8.2,1,0.9,1.6
00ALGS,Greenwich,Coldharbour and New Eltham,GreenwichColdharbour and New Eltham,12425,11369,182,327,417,130,10742,201,426,70,26,32,54,204,41,31,51,221,157,39,76,54,91.5,1.5,2.6,3.4,1,86.5,1.6,3.4,0.6,0.2,0.3,0.4,1.6,0.3,0.2,0.4,1.8,1.3,0.3,0.6,0.4
00ALGT,Greenwich,Eltham North,GreenwichEltham North,12303,11457,174,285,258,129,10771,322,364,49,22,63,40,196,28,12,49,127,110,21,89,40,93.1,1.4,2.3,2.1,1,87.5,2.6,3,0.4,0.2,0.5,0.3,1.6,0.2,0.1,0.4,1,0.9,0.2,0.7,0.3
00ALGU,Greenwich,Eltham South,GreenwichEltham South,11629,10587,167,395,336,144,9858,226,503,51,18,53,45,235,51,43,66,87,219,30,91,53,91,1.4,3.4,2.9,1.2,84.8,1.9,4.3,0.4,0.2,0.5,0.4,2,0.4,0.4,0.6,0.7,1.9,0.3,0.8,0.5
00ALGW,Greenwich,Eltham West,GreenwichEltham West,13438,10935,310,240,1510,443,10257,240,438,136,52,62,60,143,32,20,45,279,1100,131,227,216,81.4,2.3,1.8,11.2,3.3,76.3,1.8,3.3,1,0.4,0.5,0.4,1.1,0.2,0.1,0.3,2.1,8.2,1,1.7,1.6
00ALGX,Greenwich,Glyndon,GreenwichGlyndon,13879,8601,512,2106,2361,299,7814,334,453,196,85,121,110,1460,310,148,188,721,1463,177,142,157,62,3.7,15.2,17,2.2,56.3,2.4,3.3,1.4,0.6,0.9,0.8,10.5,2.2,1.1,1.4,5.2,10.5,1.3,1,1.1
00ALGY,Greenwich,Greenwich West,GreenwichGreenwich West,11228,8372,426,513,1584,333,7175,298,899,158,74,83,111,330,46,47,90,518,937,129,181,152,74.6,3.8,4.6,14.1,3,63.9,2.7,8,1.4,0.7,0.7,1,2.9,0.4,0.4,0.8,4.6,8.3,1.1,1.6,1.4
00ALGZ,Greenwich,Kidbrooke with Hornfair,GreenwichKidbrooke with Hornfair,12098,10063,272,607,891,265,9237,314,512,105,38,68,61,408,76,39,84,307,531,53,154,111,83.2,2.2,5,7.4,2.2,76.4,2.6,4.2,0.9,0.3,0.6,0.5,3.4,0.6,0.3,0.7,2.5,4.4,0.4,1.3,0.9
00ALHA,Greenwich,Middle Park and Sutcliffe,GreenwichMiddle Park and Sutcliffe,12832,11337,290,380,619,206,10499,281,557,117,37,67,69,192,45,22,121,333,215,71,114,92,88.3,2.3,3,4.8,1.6,81.8,2.2,4.3,0.9,0.3,0.5,0.5,1.5,0.4,0.2,0.9,2.6,1.7,0.6,0.9,0.7
00ALHB,Greenwich,Peninsula,GreenwichPeninsula,10155,7879,290,818,943,225,6849,302,728,107,38,67,78,512,76,142,88,349,478,116,126,99,77.6,2.9,8.1,9.3,2.2,67.4,3,7.2,1.1,0.4,0.7,0.8,5,0.7,1.4,0.9,3.4,4.7,1.1,1.2,1
00ALHC,Greenwich,Plumstead,GreenwichPlumstead,14112,9187,446,2453,1847,179,8489,305,393,173,78,105,90,1651,376,126,300,708,1000,139,112,67,65.1,3.2,17.4,13.1,1.3,60.2,2.2,2.8,1.2,0.6,0.7,0.6,11.7,2.7,0.9,2.1,5,7.1,1,0.8,0.5
