Ward Code,Borough,Ward,b_w,All people,White,Mixed,Asian,Black,Chinese/Other,White British,White Irish,White Other White,Mixed White and Black Caribbean,Mixed White and Black African,Mixed White and Asian,Mixed Other Mixed,Asian or Asian British Indian,Asian or Asian British Pakistani,Asian or Asian British Bangladeshi,Asian or Asian British Other Asian,Black or Black British Black Caribbean,Black or Black British Black African,Black or Black British Other Black,Chinese or other ethnic group Chinese,Chinese or other ethnic group Other Ethnic Group,% White,% Mixed,% Asian,% Black,% Chinese/Other,% White British,% White Irish,% White Other White,% Mixed White and Black Caribbean,% Mixed White and Black African,% Mixed White and Asian,% Mixed Other Mixed,% Asian or Asian British Indian,% Asian or Asian British Pakistani,% Asian or Asian British Bangladeshi,% Asian or Asian British Other Asian,% Black or Black British Black Caribbean,% Black or Black British Black African,% Black or Black British Other Black,% Chinese or other ethnic group Chinese,% Chinese or other ethnic group Other Ethnic Group
00ANGF,Hammersmith and Fulham,Fulham Reach,Hammersmith and FulhamFulham Reach,10197,8033,359,437,1055,313,6066,503,1464,107,47,93,112,212,89,36,100,528,422,105,147,166,78.8,3.5,4.3,10.3,3.1,59.5,4.9,14.4,1,0.5,0.9,1.1,2.1,0.9,0.4,1,5.2,4.1,1,1.4,1.6
00ANGG,Hammersmith and Fulham,Hammersmith Broadway,Hammersmith and FulhamHammersmith Broadway,11560,8920,519,492,1345,284,6548,649,1723,164,80,138,137,144,147,79,122,638,530,177,77,207,77.2,4.5,4.3,11.6,2.5,56.6,5.6,14.9,1.4,0.7,1.2,1.2,1.2,1.3,0.7,1.1,5.5,4.6,1.5,0.7,1.8
00ANGH,Hammersmith and Fulham,Munster,Hammersmith and FulhamMunster,9884,8561,247,265,661,150,6606,471,1484,75,44,68,60,130,47,16,72,326,265,70,45,105,86.6,2.5,2.7,6.7,1.5,66.8,4.8,15,0.8,0.4,0.7,0.6,1.3,0.5,0.2,0.7,3.3,2.7,0.7,0.5,1.1
00ANGK,Hammersmith and Fulham,Palace Riverside,Hammersmith and FulhamPalace Riverside,7333,6584,193,171,273,112,5135,299,1150,41,17,80,55,86,29,3,53,138,117,18,36,76,89.8,2.6,2.3,3.7,1.5,70,4.1,15.7,0.6,0.2,1.1,0.8,1.2,0.4,0,0.7,1.9,1.6,0.2,0.5,1
00ANGL,Hammersmith and Fulham,Parsons Green and Walham,Hammersmith and FulhamParsons Green and Walham,10280,9180,281,237,412,170,6910,350,1920,79,39,103,60,83,43,48,63,199,185,28,54,116,89.3,2.7,2.3,4,1.7,67.2,3.4,18.7,0.8,0.4,1,0.6,0.8,0.4,0.5,0.6,1.9,1.8,0.3,0.5,1.1
00ANGM,Hammersmith and Fulham,Ravenscourt Park,Hammersmith and FulhamRavenscourt Park,10791,8699,416,438,971,267,6741,444,1514,109,78,113,116,160,95,45,138,387,502,82,53,214,80.6,3.9,4.1,9,2.5,62.5,4.1,14,1,0.7,1,1.1,1.5,0.9,0.4,1.3,3.6,4.7,0.8,0.5,2
00ANGN,Hammersmith and Fulham,Sands End,Hammersmith and FulhamSands End,9723,7767,382,316,986,272,6054,355,1358,150,68,71,93,118,68,70,60,423,463,100,88,184,79.9,3.9,3.3,10.1,2.8,62.3,3.7,14,1.5,0.7,0.7,1,1.2,0.7,0.7,0.6,4.4,4.8,1,0.9,1.9
00ANGP,Hammersmith and Fulham,Shepherd`s Bush Green,Hammersmith and FulhamShepherd`s Bush Green,10249,7221,505,644,1621,258,5151,629,1441,169,94,114,128,210,235,65,134,794,634,193,67,191,70.5,4.9,6.3,15.8,2.5,50.3,6.1,14.1,1.6,0.9,1.1,1.2,2,2.3,0.6,1.3,7.7,6.2,1.9,0.7,1.9
00ANGR,Hammersmith and Fulham,Wormholt and White City,Hammersmith and FulhamWormholt and White City,11997,7560,601,713,2748,375,5654,640,1266,231,104,129,137,201,155,212,145,1087,1433,228,76,299,63,5,5.9,22.9,3.1,47.1,5.3,10.6,1.9,0.9,1.1,1.1,1.7,1.3,1.8,1.2,9.1,11.9,1.9,0.6,2.5
00APGB,Haringey,Bounds Green,HaringeyBounds Green,10905,7292,518,992,1817,286,4860,554,1878,172,86,139,121,518,91,183,200,783,881,153,109,177,66.9,4.8,9.1,16.7,2.6,44.6,5.1,17.2,1.6,0.8,1.3,1.1,4.8,0.8,1.7,1.8,7.2,8.1,1.4,1,1.6
00APGC,Haringey,Bruce Grove,HaringeyBruce Grove,11997,5782,649,931,4244,391,3647,480,1655,229,107,106,207,346,177,192,216,2293,1664,287,136,255,48.2,5.4,7.8,35.4,3.3,30.4,4,13.8,1.9,0.9,0.9,1.7,2.9,1.5,1.6,1.8,19.1,13.9,2.4,1.1,2.1
00APGD,Haringey,Crouch End,HaringeyCrouch End,10762,9194,377,373,613,205,7189,498,1507,94,45,123,115,179,54,50,90,281,281,51,91,114,85.4,3.5,3.5,5.7,1.9,66.8,4.6,14,0.9,0.4,1.1,1.1,1.7,0.5,0.5,0.8,2.6,2.6,0.5,0.8,1.1
00APGE,Haringey,Fortis Green,HaringeyFortis Green,11235,9491,373,446,529,396,7549,402,1540,93,41,120,119,267,78,26,75,248,254,27,59,337,84.5,3.3,4,4.7,3.5,67.2,3.6,13.7,0.8,0.4,1.1,1.1,2.4,0.7,0.2,0.7,2.2,2.3,0.2,0.5,3
00APGF,Haringey,Harringay,HaringeyHarringay,10525,7417,406,922,1459,321,4659,494,2264,115,73,106,112,385,158,204,175,623,754,82,131,190,70.5,3.9,8.8,13.9,3,44.3,4.7,21.5,1.1,0.7,1,1.1,3.7,1.5,1.9,1.7,5.9,7.2,0.8,1.2,1.8
00APGH,Haringey,Hornsey,HaringeyHornsey,10075,7432,469,630,1367,177,5658,568,1206,163,85,121,100,305,58,133,134,728,543,96,52,125,73.8,4.7,6.3,13.6,1.8,56.2,5.6,12,1.6,0.8,1.2,1,3,0.6,1.3,1.3,7.2,5.4,1,0.5,1.2
00APGJ,Haringey,Muswell Hill,HaringeyMuswell Hill,9975,8657,381,302,468,167,7028,347,1282,94,53,131,103,181,43,19,59,212,214,42,80,87,86.8,3.8,3,4.7,1.7,70.5,3.5,12.9,0.9,0.5,1.3,1,1.8,0.4,0.2,0.6,2.1,2.1,0.4,0.8,0.9
00APGK,Haringey,Noel Park,HaringeyNoel Park,11472,7019,511,1186,2363,393,4331,541,2147,187,94,118,112,478,178,304,226,1188,991,184,222,171,61.2,4.5,10.3,20.6,3.4,37.8,4.7,18.7,1.6,0.8,1,1,4.2,1.6,2.6,2,10.4,8.6,1.6,1.9,1.5
00APGL,Haringey,Northumberland Park,HaringeyNorthumberland Park,12606,5985,670,793,4774,384,3639,467,1879,269,100,127,174,283,133,128,249,2274,2186,314,99,285,47.5,5.3,6.3,37.9,3,28.9,3.7,14.9,2.1,0.8,1,1.4,2.2,1.1,1,2,18,17.3,2.5,0.8,2.3
00APGM,Haringey,St Ann`s,HaringeySt Ann`s,12603,7516,530,1273,2851,433,4404,535,2577,172,97,111,150,502,192,322,257,1450,1254,147,159,274,59.6,4.2,10.1,22.6,3.4,34.9,4.2,20.4,1.4,0.8,0.9,1.2,4,1.5,2.6,2,11.5,10,1.2,1.3,2.2
00APGN,Haringey,Seven Sisters,HaringeySeven Sisters,13179,7571,648,993,3513,454,4749,540,2282,241,88,107,212,378,119,290,206,1735,1515,263,163,291,57.4,4.9,7.5,26.7,3.4,36,4.1,17.3,1.8,0.7,0.8,1.6,2.9,0.9,2.2,1.6,13.2,11.5,2,1.2,2.2
00APGP,Haringey,Stroud Green,HaringeyStroud Green,10324,7796,517,401,1423,187,5866,624,1306,176,78,126,137,183,49,70,99,773,548,102,61,126,75.5,5,3.9,13.8,1.8,56.8,6,12.7,1.7,0.8,1.2,1.3,1.8,0.5,0.7,1,7.5,5.3,1,0.6,1.2
00APGQ,Haringey,Tottenham Green,HaringeyTottenham Green,11966,5938,599,933,3936,560,3553,447,1938,211,94,130,164,280,127,281,245,1898,1813,225,183,377,49.6,5,7.8,32.9,4.7,29.7,3.7,16.2,1.8,0.8,1.1,1.4,2.3,1.1,2.3,2,15.9,15.2,1.9,1.5,3.2
00APGR,Haringey,Tottenham Hale,HaringeyTottenham Hale,12728,6206,691,800,4426,605,3887,427,1892,250,120,145,176,235,170,102,293,2106,2013,307,160,445,48.8,5.4,6.3,34.8,4.8,30.5,3.4,14.9,2,0.9,1.1,1.4,1.8,1.3,0.8,2.3,16.5,15.8,2.4,1.3,3.5
00APGS,Haringey,West Green,HaringeyWest Green,11884,6801,523,1039,3001,520,3822,495,2484,159,107,109,148,447,117,253,222,1082,1750,169,295,225,57.2,4.4,8.7,25.3,4.4,32.2,4.2,20.9,1.3,0.9,0.9,1.2,3.8,1,2.1,1.9,9.1,14.7,1.4,2.5,1.9
00APGT,Haringey,White Hart Lane,HaringeyWhite Hart Lane,11985,7151,691,683,3116,344,4904,494,1753,252,106,88,245,244,97,154,188,1437,1428,251,79,265,59.7,5.8,5.7,26,2.9,40.9,4.1,14.6,2.1,0.9,0.7,2,2,0.8,1.3,1.6,12,11.9,2.1,0.7,2.2
00AQFZ,Harrow,Canons,HarrowCanons,10091,7219,196,1982,349,345,6370,205,644,28,28,80,60,1582,102,42,256,117,211,21,223,122,71.5,1.9,19.6,3.5,3.4,63.1,2,6.4,0.3,0.3,0.8,0.6,15.7,1,0.4,2.5,1.2,2.1,0.2,2.2,1.2
00AQGB,Harrow,Greenhill,HarrowGreenhill,9324,5453,374,2432,718,347,4363,459,631,89,68,112,105,1675,324,24,409,348,328,42,186,161,58.5,4,26.1,7.7,3.7,46.8,4.9,6.8,1,0.7,1.2,1.1,18,3.5,0.3,4.4,3.7,3.5,0.5,2,1.7
00AQGC,Harrow,Harrow on the Hill,HarrowHarrow on the Hill,10632,6414,361,2762,717,378,5262,490,662,74,47,121,119,1807,249,56,650,370,309,38,162,216,60.3,3.4,26,6.7,3.6,49.5,4.6,6.2,0.7,0.4,1.1,1.1,17,2.3,0.5,6.1,3.5,2.9,0.4,1.5,2
00AQGD,Harrow,Harrow Weald,HarrowHarrow Weald,10345,7532,294,1726,617,176,6503,687,342,80,18,119,77,1269,157,16,284,331,233,53,74,102,72.8,2.8,16.7,6,1.7,62.9,6.6,3.3,0.8,0.2,1.2,0.7,12.3,1.5,0.2,2.7,3.2,2.3,0.5,0.7,1
00AQGE,Harrow,Hatch End,HarrowHatch End,10098,7475,218,1913,315,177,6702,324,449,59,23,79,57,1577,128,8,200,137,163,15,62,115,74,2.2,18.9,3.1,1.8,66.4,3.2,4.4,0.6,0.2,0.8,0.6,15.6,1.3,0.1,2,1.4,1.6,0.1,0.6,1.1
00AQGF,Harrow,Headstone North,HarrowHeadstone North,9522,6236,221,2452,315,298,5519,356,361,45,8,93,75,1797,176,35,444,163,128,24,164,134,65.5,2.3,25.8,3.3,3.1,58,3.7,3.8,0.5,0.1,1,0.8,18.9,1.8,0.4,4.7,1.7,1.3,0.3,1.7,1.4
00AQGG,Harrow,Headstone South,HarrowHeadstone South,9366,5536,309,2691,622,208,4595,453,488,72,18,143,76,1924,251,22,494,349,241,32,96,112,59.1,3.3,28.7,6.6,2.2,49.1,4.8,5.2,0.8,0.2,1.5,0.8,20.5,2.7,0.2,5.3,3.7,2.6,0.3,1,1.2
00AQGH,Harrow,Kenton East,HarrowKenton East,9888,3522,234,5304,672,156,2837,406,279,52,15,72,95,4488,176,30,610,355,256,61,49,107,35.6,2.4,53.6,6.8,1.6,28.7,4.1,2.8,0.5,0.2,0.7,1,45.4,1.8,0.3,6.2,3.6,2.6,0.6,0.5,1.1
00AQGJ,Harrow,Kenton West,HarrowKenton West,10277,4182,288,4933,689,185,3459,402,321,56,38,104,90,4152,289,39,453,418,200,71,88,97,40.7,2.8,48,6.7,1.8,33.7,3.9,3.1,0.5,0.4,1,0.9,40.4,2.8,0.4,4.4,4.1,1.9,0.7,0.9,0.9
00AQGK,Harrow,Marlborough,HarrowMarlborough,9207,5162,298,2710,822,215,4059,690,413,78,37,95,88,1925,343,35,407,443,320,59,99,116,56.1,3.2,29.4,8.9,2.3,44.1,7.5,4.5,0.8,0.4,1,1,20.9,3.7,0.4,4.4,4.8,3.5,0.6,1.1,1.3
00AQGL,Harrow,Pinner,HarrowPinner,9601,7514,221,1375,305,186,6652,302,560,51,18,77,75,1045,115,28,187,104,166,35,87,99,78.3,2.3,14.3,3.2,1.9,69.3,3.1,5.8,0.5,0.2,0.8,0.8,10.9,1.2,0.3,1.9,1.1,1.7,0.4,0.9,1
00AQGM,Harrow,Pinner South,HarrowPinner South,9555,7391,189,1570,177,228,6590,294,507,39,17,78,55,1043,97,27,403,67,95,15,137,91,77.4,2,16.4,1.9,2.4,69,3.1,5.3,0.4,0.2,0.8,0.6,10.9,1,0.3,4.2,0.7,1,0.2,1.4,1
00AQGP,Harrow,Rayners Lane,HarrowRayners Lane,10038,5453,339,3430,526,290,4743,314,396,72,36,137,94,2283,224,65,858,248,237,41,158,132,54.3,3.4,34.2,5.2,2.9,47.3,3.1,3.9,0.7,0.4,1.4,0.9,22.7,2.2,0.6,8.5,2.5,2.4,0.4,1.6,1.3
00AQGQ,Harrow,Roxbourne,HarrowRoxbourne,10947,5685,460,3238,1257,307,4898,427,360,127,59,133,141,2023,208,116,891,542,646,69,94,213,51.9,4.2,29.6,11.5,2.8,44.7,3.9,3.3,1.2,0.5,1.2,1.3,18.5,1.9,1.1,8.1,5,5.9,0.6,0.9,1.9
00AQGR,Harrow,Roxeth,HarrowRoxeth,10538,5401,423,3364,1014,336,4401,475,525,107,39,140,137,2040,255,71,998,533,393,88,150,186,51.3,4,31.9,9.6,3.2,41.8,4.5,5,1,0.4,1.3,1.3,19.4,2.4,0.7,9.5,5.1,3.7,0.8,1.4,1.8
00AQGS,Harrow,Stanmore Park,HarrowStanmore Park,9339,6984,176,1636,364,179,6278,261,445,53,18,42,63,1274,101,53,208,167,165,32,89,90,74.8,1.9,17.5,3.9,1.9,67.2,2.8,4.8,0.6,0.2,0.4,0.7,13.6,1.1,0.6,2.2,1.8,1.8,0.3,1,1
00AQGT,Harrow,Wealdstone,HarrowWealdstone,8963,5265,245,2326,863,264,4163,781,321,81,36,59,69,1659,223,61,383,469,329,65,66,198,58.7,2.7,26,9.6,2.9,46.4,8.7,3.6,0.9,0.4,0.7,0.8,18.5,2.5,0.7,4.3,5.2,3.7,0.7,0.7,2.2
00AQGU,Harrow,West Harrow,HarrowWest Harrow,9690,5546,340,2975,569,260,4684,426,436,88,35,124,93,2005,247,47,676,288,221,60,133,127,57.2,3.5,30.7,5.9,2.7,48.3,4.4,4.5,0.9,0.4,1.3,1,20.7,2.5,0.5,7,3,2.3,0.6,1.4,1.3
00ARGC,Havering,Brooklands,HaveringBrooklands,13024,11987,161,374,389,113,11387,308,292,60,16,41,44,237,24,23,90,208,161,20,61,52,92,1.2,2.9,3,0.9,87.4,2.4,2.2,0.5,0.1,0.3,0.3,1.8,0.2,0.2,0.7,1.6,1.2,0.2,0.5,0.4
00ARGD,Havering,Cranham,HaveringCranham,12242,11930,78,120,64,50,11603,169,158,19,12,36,11,80,9,7,24,31,26,7,32,18,97.5,0.6,1,0.5,0.4,94.8,1.4,1.3,0.2,0.1,0.3,0.1,0.7,0.1,0.1,0.2,0.3,0.2,0.1,0.3,0.1
00ARGE,Havering,Elm Park,HaveringElm Park,12048,11398,148,215,191,96,11068,179,151,66,14,35,33,158,21,7,29,92,84,15,70,26,94.6,1.2,1.8,1.6,0.8,91.9,1.5,1.3,0.5,0.1,0.3,0.3,1.3,0.2,0.1,0.2,0.8,0.7,0.1,0.6,0.2
00ARGF,Havering,Emerson Park,HaveringEmerson Park,11396,10349,107,669,151,120,9993,154,202,27,6,55,19,518,79,12,60,50,94,7,94,26,90.8,0.9,5.9,1.3,1.1,87.7,1.4,1.8,0.2,0.1,0.5,0.2,4.5,0.7,0.1,0.5,0.4,0.8,0.1,0.8,0.2
00ARGG,Havering,Gooshays,HaveringGooshays,13991,13485,167,121,169,49,13106,155,224,65,11,43,48,68,12,20,21,73,88,8,31,18,96.4,1.2,0.9,1.2,0.4,93.7,1.1,1.6,0.5,0.1,0.3,0.3,0.5,0.1,0.1,0.2,0.5,0.6,0.1,0.2,0.1
00ARGH,Havering,Hacton,HaveringHacton,12494,11997,121,186,92,98,11590,145,262,32,12,56,21,122,29,11,24,58,28,6,70,28,96,1,1.5,0.7,0.8,92.8,1.2,2.1,0.3,0.1,0.4,0.2,1,0.2,0.1,0.2,0.5,0.2,0,0.6,0.2
00ARGJ,Havering,Harold Wood,HaveringHarold Wood,12004,11390,147,238,142,87,11015,215,160,56,13,36,42,151,27,9,51,45,82,15,47,40,94.9,1.2,2,1.2,0.7,91.8,1.8,1.3,0.5,0.1,0.3,0.3,1.3,0.2,0.1,0.4,0.4,0.7,0.1,0.4,0.3
00ARGK,Havering,Havering Park,HaveringHavering Park,12366,11979,107,110,130,40,11649,159,171,42,11,40,14,67,18,0,25,71,50,9,26,14,96.9,0.9,0.9,1.1,0.3,94.2,1.3,1.4,0.3,0.1,0.3,0.1,0.5,0.1,0,0.2,0.6,0.4,0.1,0.2,0.1
00ARGL,Havering,Heaton,HaveringHeaton,11778,11343,116,93,171,55,11005,150,188,51,8,33,24,61,7,6,19,89,64,18,25,30,96.3,1,0.8,1.5,0.5,93.4,1.3,1.6,0.4,0.1,0.3,0.2,0.5,0.1,0.1,0.2,0.8,0.5,0.2,0.2,0.3
00ARGM,Havering,Hylands,HaveringHylands,12380,11886,100,205,139,50,11495,225,166,31,10,38,21,154,15,16,20,62,69,8,33,17,96,0.8,1.7,1.1,0.4,92.9,1.8,1.3,0.3,0.1,0.3,0.2,1.2,0.1,0.1,0.2,0.5,0.6,0.1,0.3,0.1
00ARGN,Havering,Mawneys,HaveringMawneys,12556,12034,128,151,188,55,11641,189,204,52,15,29,32,88,27,3,33,69,114,5,43,12,95.8,1,1.2,1.5,0.4,92.7,1.5,1.6,0.4,0.1,0.2,0.3,0.7,0.2,0,0.3,0.5,0.9,0,0.3,0.1
00ARGP,Havering,Pettits,HaveringPettits,12832,12315,123,192,153,49,11933,188,194,32,14,48,29,133,11,17,31,86,64,3,32,17,96,1,1.5,1.2,0.4,93,1.5,1.5,0.2,0.1,0.4,0.2,1,0.1,0.1,0.2,0.7,0.5,0,0.2,0.1
00ARGQ,Havering,Rainham and Wennington,HaveringRainham and Wennington,12114,11308,153,341,273,39,11024,144,140,92,7,32,22,287,26,6,22,159,88,26,24,15,93.3,1.3,2.8,2.3,0.3,91,1.2,1.2,0.8,0.1,0.3,0.2,2.4,0.2,0,0.2,1.3,0.7,0.2,0.2,0.1
00ARGR,Havering,Romford Town,HaveringRomford Town,13200,12247,200,388,234,131,11622,251,374,75,26,48,51,221,50,22,95,118,102,14,85,46,92.8,1.5,2.9,1.8,1,88,1.9,2.8,0.6,0.2,0.4,0.4,1.7,0.4,0.2,0.7,0.9,0.8,0.1,0.6,0.3
00ARGS,Havering,St Andrew`s,HaveringSt Andrew`s,12778,12346,108,131,126,67,11948,190,208,28,13,32,35,66,27,16,22,63,51,12,53,14,96.6,0.8,1,1,0.5,93.5,1.5,1.6,0.2,0.1,0.3,0.3,0.5,0.2,0.1,0.2,0.5,0.4,0.1,0.4,0.1
00ARGT,Havering,South Hornchurch,HaveringSouth Hornchurch,12592,11899,150,163,310,70,11529,167,203,65,27,32,26,91,29,17,26,163,128,19,54,16,94.5,1.2,1.3,2.5,0.6,91.6,1.3,1.6,0.5,0.2,0.3,0.2,0.7,0.2,0.1,0.2,1.3,1,0.2,0.4,0.1
00ARGU,Havering,Squirrel`s Heath,HaveringSquirrel`s Heath,11780,11174,97,258,159,92,10800,158,216,17,4,34,42,170,36,10,42,76,72,11,72,20,94.9,0.8,2.2,1.3,0.8,91.7,1.3,1.8,0.1,0,0.3,0.4,1.4,0.3,0.1,0.4,0.6,0.6,0.1,0.6,0.2
00ARGW,Havering,Upminster,HaveringUpminster,12674,12354,87,133,59,41,11957,244,153,17,7,37,26,84,10,14,25,41,12,6,34,7,97.5,0.7,1,0.5,0.3,94.3,1.9,1.2,0.1,0.1,0.3,0.2,0.7,0.1,0.1,0.2,0.3,0.1,0,0.3,0.1
00ASGH,Hillingdon,Botwell,HillingdonBotwell,12432,8476,356,2687,723,190,7643,456,377,110,54,112,80,1826,352,113,396,281,402,40,50,140,68.2,2.9,21.6,5.8,1.5,61.5,3.7,3,0.9,0.4,0.9,0.6,14.7,2.8,0.9,3.2,2.3,3.2,0.3,0.4,1.1
00ASGJ,Hillingdon,Brunel,HillingdonBrunel,10631,8851,275,975,350,180,8175,286,390,64,36,90,85,586,154,93,142,113,214,23,74,106,83.3,2.6,9.2,3.3,1.7,76.9,2.7,3.7,0.6,0.3,0.8,0.8,5.5,1.4,0.9,1.3,1.1,2,0.2,0.7,1
00ASGK,Hillingdon,Cavendish,HillingdonCavendish,11239,9985,198,706,166,184,9331,331,323,42,21,78,57,520,69,13,104,106,46,14,106,78,88.8,1.8,6.3,1.5,1.6,83,2.9,2.9,0.4,0.2,0.7,0.5,4.6,0.6,0.1,0.9,0.9,0.4,0.1,0.9,0.7
00ASGL,Hillingdon,Charville,HillingdonCharville,11429,9366,274,1191,524,74,8702,399,265,82,25,90,77,751,173,32,235,237,231,56,11,63,81.9,2.4,10.4,4.6,0.6,76.1,3.5,2.3,0.7,0.2,0.8,0.7,6.6,1.5,0.3,2.1,2.1,2,0.5,0.1,0.6
00ASGM,Hillingdon,Eastcote and East Ruislip,HillingdonEastcote and East Ruislip,11480,10311,171,689,155,154,9515,298,498,42,14,63,52,541,72,25,51,69,78,8,78,76,89.8,1.5,6,1.4,1.3,82.9,2.6,4.3,0.4,0.1,0.5,0.5,4.7,0.6,0.2,0.4,0.6,0.7,0.1,0.7,0.7
00ASGN,Hillingdon,Harefield,HillingdonHarefield,7091,6676,92,186,73,64,6279,138,259,29,15,29,19,139,10,0,37,40,30,3,27,37,94.1,1.3,2.6,1,0.9,88.5,1.9,3.7,0.4,0.2,0.4,0.3,2,0.1,0,0.5,0.6,0.4,0,0.4,0.5
00ASGP,Hillingdon,Heathrow Villages,HillingdonHeathrow Villages,10217,7446,255,1892,327,297,6642,256,548,47,46,87,75,1376,274,39,203,117,200,10,91,206,72.9,2.5,18.5,3.2,2.9,65,2.5,5.4,0.5,0.5,0.9,0.7,13.5,2.7,0.4,2,1.1,2,0.1,0.9,2
00ASGQ,Hillingdon,Hillingdon East,HillingdonHillingdon East,11878,10174,256,1001,226,221,9493,400,281,75,22,90,69,686,100,57,158,109,93,24,120,101,85.7,2.2,8.4,1.9,1.9,79.9,3.4,2.4,0.6,0.2,0.8,0.6,5.8,0.8,0.5,1.3,0.9,0.8,0.2,1,0.9
00ASGR,Hillingdon,Ickenham,HillingdonIckenham,9933,8929,132,631,65,176,8404,226,299,20,6,61,45,496,37,9,89,25,31,9,106,70,89.9,1.3,6.4,0.7,1.8,84.6,2.3,3,0.2,0.1,0.6,0.5,5,0.4,0.1,0.9,0.3,0.3,0.1,1.1,0.7
00ASGS,Hillingdon,Manor,HillingdonManor,10902,9789,227,537,191,158,9100,401,288,45,26,89,67,366,35,41,95,116,67,8,80,78,89.8,2.1,4.9,1.8,1.4,83.5,3.7,2.6,0.4,0.2,0.8,0.6,3.4,0.3,0.4,0.9,1.1,0.6,0.1,0.7,0.7
00ASGT,Hillingdon,Northwood,HillingdonNorthwood,10559,8301,249,1531,186,292,7293,216,792,37,19,98,95,1129,130,39,233,55,113,18,145,147,78.6,2.4,14.5,1.8,2.8,69.1,2,7.5,0.4,0.2,0.9,0.9,10.7,1.2,0.4,2.2,0.5,1.1,0.2,1.4,1.4
00ASGU,Hillingdon,Northwood Hills,HillingdonNorthwood Hills,10833,8823,244,1339,186,241,8015,244,564,73,23,87,61,992,113,42,192,93,86,7,132,109,81.4,2.3,12.4,1.7,2.2,74,2.3,5.2,0.7,0.2,0.8,0.6,9.2,1,0.4,1.8,0.9,0.8,0.1,1.2,1
00ASGW,Hillingdon,Pinkwell,HillingdonPinkwell,12346,7009,330,4117,697,193,6327,343,339,87,50,130,63,3227,425,62,403,266,411,20,55,138,56.8,2.7,33.3,5.6,1.6,51.2,2.8,2.7,0.7,0.4,1.1,0.5,26.1,3.4,0.5,3.3,2.2,3.3,0.2,0.4,1.1
00ASGX,Hillingdon,South Ruislip,HillingdonSouth Ruislip,10823,9241,257,812,335,178,8498,382,361,74,31,82,70,558,104,26,124,181,129,25,105,73,85.4,2.4,7.5,3.1,1.6,78.5,3.5,3.3,0.7,0.3,0.8,0.6,5.2,1,0.2,1.1,1.7,1.2,0.2,1,0.7
00ASGY,Hillingdon,Townfield,HillingdonTownfield,11626,7632,342,2672,789,191,6861,410,361,88,46,128,80,1811,410,105,346,263,494,32,40,151,65.6,2.9,23,6.8,1.6,59,3.5,3.1,0.8,0.4,1.1,0.7,15.6,3.5,0.9,3,2.3,4.2,0.3,0.3,1.3
00ASGZ,Hillingdon,Uxbridge North,HillingdonUxbridge North,11671,9987,245,1027,223,189,9262,314,411,63,20,98,64,711,79,113,124,91,112,20,128,61,85.6,2.1,8.8,1.9,1.6,79.4,2.7,3.5,0.5,0.2,0.8,0.5,6.1,0.7,1,1.1,0.8,1,0.2,1.1,0.5
00ASHA,Hillingdon,Uxbridge South,HillingdonUxbridge South,11438,9131,272,1324,421,290,8197,271,663,71,30,95,76,698,208,256,162,132,272,17,150,140,79.8,2.4,11.6,3.7,2.5,71.7,2.4,5.8,0.6,0.3,0.8,0.7,6.1,1.8,2.2,1.4,1.2,2.4,0.1,1.3,1.2
00ASHB,Hillingdon,West Drayton,HillingdonWest Drayton,11589,9937,241,998,279,134,9278,321,338,58,40,82,61,652,136,80,130,118,144,17,70,64,85.7,2.1,8.6,2.4,1.2,80.1,2.8,2.9,0.5,0.3,0.7,0.5,5.6,1.2,0.7,1.1,1,1.2,0.1,0.6,0.6
00ASHC,Hillingdon,West Ruislip,HillingdonWest Ruislip,10183,9143,216,507,161,156,8310,283,550,46,35,69,66,369,30,14,94,45,80,36,74,82,89.8,2.1,5,1.6,1.5,81.6,2.8,5.4,0.5,0.3,0.7,0.6,3.6,0.3,0.1,0.9,0.4,0.8,0.4,0.7,0.8
00ASHD,Hillingdon,Yeading,HillingdonYeading,11923,7111,447,3172,860,333,6372,320,419,120,70,145,112,2216,363,75,518,372,439,49,136,197,59.6,3.7,26.6,7.2,2.8,53.4,2.7,3.5,1,0.6,1.2,0.9,18.6,3,0.6,4.3,3.1,3.7,0.4,1.1,1.7
00ASHE,Hillingdon,Yiewsley,HillingdonYiewsley,11056,9385,222,1010,305,134,8773,250,362,67,30,79,46,584,158,150,118,112,181,12,42,92,84.9,2,9.1,2.8,1.2,79.4,2.3,3.3,0.6,0.3,0.7,0.4,5.3,1.4,1.4,1.1,1,1.6,0.1,0.4,0.8
00ATFY,Hounslow,Bedfont,HounslowBedfont,10104,8218,222,1204,301,159,7742,200,276,65,20,73,64,856,224,17,107,86,188,27,18,141,81.3,2.2,11.9,3,1.6,76.6,2,2.7,0.6,0.2,0.7,0.6,8.5,2.2,0.2,1.1,0.9,1.9,0.3,0.2,1.4
00ATFZ,Hounslow,Brentford,HounslowBrentford,10745,8301,399,882,807,356,6866,550,885,129,60,104,106,479,181,70,152,264,481,62,135,221,77.3,3.7,8.2,7.5,3.3,63.9,5.1,8.2,1.2,0.6,1,1,4.5,1.7,0.7,1.4,2.5,4.5,0.6,1.3,2.1
00ATGA,Hounslow,Chiswick Homefields,HounslowChiswick Homefields,10290,8929,309,398,373,281,6991,439,1499,60,45,107,97,226,71,14,87,147,195,31,116,165,86.8,3,3.9,3.6,2.7,67.9,4.3,14.6,0.6,0.4,1,0.9,2.2,0.7,0.1,0.8,1.4,1.9,0.3,1.1,1.6
